OrderID,SKU,Style,Category,Amount,Currency
405-8078784-5731545,SET389-KR-NP-S,SET389,Set,647.62,INR
171-9198151-1101146,JNE3781-KR-XXXL,JNE3781,kurta,406.0,INR
404-0687676-7273146,JNE3371-KR-XL,JNE3371,kurta,329.0,INR
403-9615377-8133951,J0341-DR-L,J0341,Western Dress,753.33,INR
407-1069790-7240320,JNE3671-TU-XXXL,JNE3671,Top,574.0,INR
404-1490984-4578765,SET264-KR-NP-XL,SET264,Set,824.0,INR
408-5748499-6859555,J0095-SET-L,J0095,Set,653.0,INR
406-7807733-3785945,JNE3405-KR-S,JNE3405,kurta,399.0,INR
407-5443024-5233168,SET200-KR-NP-A-XXXL,SET200,Set,,
402-4393761-0311520,JNE3461-KR-XXL,JNE3461,kurta,363.0,INR
407-5633625-6970741,JNE3160-KR-G-S,JNE3160,kurta,685.0,INR
171-4638481-6326716,JNE3500-KR-XS,JNE3500,kurta,364.0,INR
405-5513694-8146768,JNE3405-KR-XS,JNE3405,kurta,399.0,INR
408-7955685-3083534,SET182-KR-DH-XS,SET182,Set,657.0,INR
408-1298370-1920302,J0351-SET-L,J0351,Set,771.0,INR
403-4965581-9520319,PJNE3368-KR-6XL,PJNE3368,kurta,544.0,INR
406-9379318-6555504,JNE3721-KR-XXL,JNE3721,kurta,329.0,INR
405-9013803-8009918,JNE3405-KR-XL,JNE3405,kurta,399.0,INR
402-4030358-5835511,JNE3697-KR-XXL,JNE3697,kurta,458.0,INR
405-5957858-1051546,SET254-KR-NP-XS,SET254,Set,886.0,INR
405-0607769-0716360,JNE3795-KR-XXXL,JNE3795,kurta,517.0,INR
404-8494550-5860325,SET345-KR-NP-M,SET345,Set,666.0,INR
171-1305077-2813934,JNE3373-KR-L,JNE3373,kurta,376.0,INR
404-6019946-2909948,SET291-KR-PP-M,SET291,Set,570.48,INR
402-3384087-4005164,MEN5002-KR-L,MEN5002,kurta,499.0,INR
405-8191138-5176316,NW030-TP-PJ-XS,NW030,Set,582.0,INR
403-9230474-9657916,JNE3415-KR-XXXL,JNE3415,kurta,299.0,INR
408-3484251-6901959,PJNE2199-KR-N-4XL,PJNE2199,kurta,459.0,INR
405-7755803-4729935,JNE3567-KR-M,JNE3567,kurta,399.0,INR
404-5933402-8801952,JNE2132-KR-398-XXXL,JNE2132,kurta,,
171-9040274-9291563,J0341-DR-S,J0341,Western Dress,791.0,INR
403-7056319-0979561,MEN5009-KR-XL,MEN5009,kurta,499.0,INR
404-9632124-1107550,J0011-LCD-M,J0011,Set,1233.0,INR
402-1465437-0579556,JNE3766-KR-M,JNE3766,kurta,517.0,INR
404-7774085-3780319,JNE3373-KR-XL,JNE3373,kurta,376.0,INR
402-2764952-1492318,MEN5001-KR-XL,MEN5001,kurta,499.0,INR
406-0272200-7784379,SET345-KR-NP-L,SET345,Set,666.0,INR
403-4367956-2849158,JNE3787-KR-S,JNE3787,kurta,487.0,INR
403-4367956-2849158,JNE3543-KR-S,JNE3543,kurta,368.0,INR
403-4242957-8599555,JNE3405-KR-L,JNE3405,kurta,399.0,INR
408-7165704-5643524,J0211-DR-XXL,J0211,Ethnic Dress,699.0,INR
402-8210765-3935569,J0401-DR-XXXL,J0401,Western Dress,885.0,INR
406-7398201-3869914,JNE2153-KR-278-A-M,JNE2153,kurta,424.0,INR
408-3478480-0881162,SET360-KR-NP-M,SET360,Set,1126.0,INR
402-7595162-9129931,SET268-KR-NP-L,SET268,Set,788.0,INR
171-6876154-6233146,SET183-KR-DH-S,SET183,Set,759.0,INR
408-3917043-5314763,J0230-SKD-L,J0230,Set,1146.0,INR
408-9281152-6213100,JNE3744-TU-S,JNE3744,Top,665.0,INR
403-3496411-3082707,JNE3510-KR-S,JNE3510,kurta,429.0,INR
171-9208368-0157156,JNE3405-KR-M,JNE3405,kurta,399.0,INR
408-2137113-0982751,J0186-SET-S,J0186,Set,848.0,INR
402-3628566-9688333,J0003-SET-M,J0003,Set,654.0,INR
408-7138000-9728362,SET282-KR-PP-M,SET282,Set,1033.0,INR
402-1752649-2274748,JNE1407-BLACK-KR-UDF18-XL,JNE1407,kurta,390.0,INR
402-7944191-1869101,J0301-TP-L,J0301,Top,493.0,INR
407-4063876-9566742,JNE3869-DR-S,JNE3869,Western Dress,721.0,INR
403-0752752-4656334,SET324-KR-NP-XS,SET324,Set,597.0,INR
406-8089333-7941903,SET279-LC-S,SET279,Set,888.0,INR
171-3072652-6805159,JNE2014-KR-178-XXL,JNE2014,kurta,353.0,INR
171-2592464-6846743,NW005-ST-PJ-XL,NW005,Set,599.0,INR
404-2262140-4696366,JNE2270-KR-487-A-M,JNE2270,kurta,518.0,INR
404-2262140-4696366,JNE3579-KR-M,JNE3579,kurta,295.0,INR
405-3594372-1614709,SET347-KR-NP-XS,SET347,Set,852.0,INR
